station_name,line,latitude,longitude,location
Baiyappanahalli,Purple,13.0358,77.6324,Baiyappanahalli
Swami Vivekananda Road,Purple,13.0219,77.6357,Indiranagar
Indiranagar,Purple,12.9784,77.6408,Indiranagar
Halasuru,Purple,12.9770,77.6267,Ulsoor
MG Road,Purple,12.9756,77.6068,MG Road
Cubbon Park,Purple,12.9794,77.5958,Cubbon Park
Vidhana Soudha,Purple,12.9796,77.5925,Vidhana Soudha
Majestic,Purple,12.9767,77.5713,Majestic
Yeshwanthpur,Green,13.0285,77.5400,Yeshwanthpur
Peenya,Green,13.0324,77.5268,Peenya
Nagasandra,Green,13.0450,77.5005,Nagasandra
Mantri Square Sampige Road,Green,12.9916,77.5704,Malleshwaram
Jayanagar,Green,12.9299,77.5822,Jayanagar
Yelachenahalli,Green,12.8988,77.5707,Yelachenahalli
